folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
1801570403,1,TB08,150,150,146.73
1801570618,1,TB05,800, ,2400
1801570719,1,TB13,2000,0,983.6
1801627422,1,TB11,4000,0,1956.52
1801627815,1,TB12,2600,500,1278.68
1801627818,1,TB12,4900,800,2409.83
1801627908,1,TB08,6509,0,6367.49
1801641921,1,TB11,4900,4900,2396.73
1801655716,1,TB13,18000,0,8852.45
1801702308,1,TB08,2500,1800,2445.65
1801702308,1,TB13,20200,20200,9880.43
1801702823,1,TB12,6000,6000,2950.81
1801702824,1,TB08,1790,0,1751.08
1801702914,1,TB08,2800,0,2739.13
1801702917,1,TB08,4000,0,3913.04
1801702918,1,TB11,10780,0,5272.82
1801714207,1,TB08,309,0,302.28
1801714207,1,TB09,1450,200,1418.47
1801714319,1,TB11,3000,500,1467.39
1801714706,1,TB11,2500,2500,1229.5
1801753510,1,TB03,273, ,792.58
1801753510,1,TB01,3500, ,10161.29
1801753510,1,TB11,1299,0,635.38
1801753510,1,TB08,199,199,194.67
1801771014,1,TB01,1950, ,5661.29
1801771409,1,TB14,27000,0,13206.52
1801771409,1,TB13,9600,0,4695.65
1801771409,1,TB11,3200,0,1565.21
1801771412,1,TB08,7329,3809,7169.67
1801771412,1,TB12,1086,420,531.19
1801771623,1,TB11,9500,9500,4672.13
1801771623,1,TB12,7000,7000,3442.62
1801781211,1,TB01,1200, ,3483.87
1801781319,1,TB08,670,0,655.43
1801781515,1,TB02,666, ,1933.54
1801781515,1,TB03,1057, ,3068.7
1801781515,1,TB01,7000, ,20322.58
1801784022,1,TB12,10000,0,4891.3
1801784022,1,TB11,20000,0,9782.6
1801784022,1,TB01,1500, ,4354.83
1801784415,1,TB08,810,320,792.39
1801800603,1,TB15,30000,10000,14754.09
1860026210,1,TR08,1500,1500,1467.39
1860026321,1,TB13,16443,0,8042.77
1860026324,1,TB03,30, ,87.09
1860026324,1,TB02,161, ,467.41
1860026324,1,TB08,700,0,684.78
1860026324,1,TB05,839, ,2435.8
1860049019,1,TB08,978,978,956.73
1860049022,1,TB08,2200,2200,2152.17
1860049024,1,TB08,560,560,547.82
1860087215,1,TB08,380,380,371.73
1860087519,1,TB08,785,785,767.93
1860087520,1,TB01,550, ,1596.77
1860087522,1,TB11,14500,0,7092.39
1860087602,1,TB12,180,180,88.52
1860087712,1,TB11,3500,0,1721.31
1860121213,1,TR01,1136, ,3298.06
1860121215,1,TB08,750,750,733.69
1860121601,1,TB12,1130,0,555.73
1860121602,1,TB08,340,340,332.6
1860121606,1,TB12,1200,0,590.16
1860122907,1,TB11,12000,0,5869.56
1860140222,1,TB11,1000,0,497.23
1860140223,1,TB11,1800,600,895.02
1860140715,1,TB08,160,160,156.52
1860140718,1,TB11,1470,0,722.95
1860142312,2,TB09,7999,7999,7825.1
1860142503,1,TB11,2880,0,1408.69
1860142506,1,TB08,1014,419,991.95
1860142506,1,TB05,1500, ,4354.83
1860142824,1,TB08,1400,350,1369.56
1860142915,1,TB01,600, ,1741.93
1860156008,1,TB06,60, ,174.19
1860156008,1,TB08,2250,0,2201.08
1860156008,1,TB10,7468,4238,7305.65
1860156008,1,TB11,1800,0,880.43
1860156008,1,TB14,21710,535,10619.02
1860156008,1,TR01,2000, ,5806.45
1860156008,1,TR02,150, ,435.48
1860156008,1,TR03,400, ,1161.29
1860156008,1,TB01,2000, ,5806.45
1860156008,1,TB02,506, ,1469.03
1860156008,1,TB03,180, ,522.58
1860156008,1,TB04,140, ,406.45
1860156722,1,TB08,340,340,332.6
1860197303,1,TB08,600,600,586.95
1860203224,1,TB05,200, ,580.64
1860203225,1,TB05,3800, ,11032.25
1860203226,1,TB08,3800,1100,3717.39
1860203315,1,TB05,1500, ,4354.83
1860203509,1,TB12,1000,1000,489.13
1860203509,1,TB09,500,0,489.13
1860203509,1,TB08,1751,212,1712.93
1860203509,1,TB03,786, ,2281.93
1860203509,1,TB11,9980,2400,4881.52
1860214801,1,TB08,370,0,361.95
1860230705,1,TB03,402, ,1206
1860230705,1,TB02,245, ,735
1860298501,1,TB11,5000,500,2445.65
1860305414,1,TB01,1000, ,2903.22
1860305424,1,TB08,1060,1060,1036.95
1860309908,1,TB13,16600,16600,8119.56
1860345714,1,TB09,5100,415,4989.13
1860345718,1,TB12,10000,0,4918.03
1860350309,1,TB15,600,100,293.47
1860350311,1,TB11,3200,3200,1565.21
1860350918,1,TB08,999,999,977.28
1860350918,1,TB11,55,0,26.9
1860360612,1,TB09,957,957,936.19
1860368406,1,TB11,5500,5500,2690.21
1860409805,1,TB01,558, ,1674
1860469315,1,TB11,1500,0,733.69
1860469507,1,TB03,353, ,1024.83
1860469507,1,TB15,17000,0,8315.21
1860469507,1,TB11,10000,0,4891.3
1860469507,1,TB08,9310,3780,9107.6
1860469507,1,TB14,37000,0,18097.82
1860469507,1,TB02,627, ,1820.32
1860469508,1,TB08,1565,490,1530.97
1860469508,1,TB12,7000,0,3423.91
1900016804,1,TB08,160,160,156.52
1900016806,1,TB08,92,46,89.99
1900200602,1,TB13,1800,0,885.24
1900200602,1,TB14,16000,0,7868.85
1900200606,1,TB03,1056, ,3168
1900200606,1,TB02,1208, ,3624
1900200606,1,TB04,12200, ,36600
1900200606,1,TB08,3660,2060,3580.43
1900233001,1,TB01,2000, ,5806.45
1900284601,1,TB14,28000,0,13770.49
1900284606,1,TB08,2940,1470,2876.08
1900366303,1,TB09,1298,649,1269.78
1900366303,1,TB05,300, ,870.96
1900451901,1,TB11,5000,1000,2445.65
1900451906,1,TB11,1150,575,562.49
1900543402,1,TB08,100,100,97.82
1900668704,1,TB08,2790,930,2729.34
1900684206,1,TB13,11000,11000,5469.61
1900684206,1,TB01,450, ,1306.45
1900761302,1,TB11,3800,3800,1858.69
1900918403,1,TB08,2800,2800,2739.13
1900918403,1,TB04,6400, ,18580.64
1900918403,1,TB02,613, ,1779.67
1900918403,1,TB03,1699, ,4932.58
1900993805,1,TB09,1610,1210,1574.99
1901026701,1,TB08,2158,918,2111.08
1901026703,1,TB08,1100,1100,1076.08
1901043203,1,TB11,1000,0,497.23
1901043203,1,TB09,200,0,195.65
1901043203,1,TB08,5828,0,5701.3
1901043203,1,TB12,9800,0,4872.92
1901043203,1,TR14,2000,350,994.47
1901043203,1,TB05,3500, ,10161.29
1901043203,1,TB01,3000, ,8709.67
1901043203,1,TB02,418, ,1213.54
1901043203,1,TB04,6950, ,20177.41
1901043203,1,TB03,786, ,2281.93
1901134706,1,TB13,3700,3700,1819.67
1901134706,1,TB04,1110, ,3330
1901134706,1,TB08,2640,0,2582.6
1901187503,1,TB02,431, ,1251.29
1901187503,1,TB03,1186, ,3443.22
1901210304,1,TB13,700,700,342.39
1901210305,1,TB01,2000, ,5806.45
1901210305,1,TB08,3308,3308,3236.08
1901210305,1,TB09,1683,1683,1646.41
1901210305,1,TB03,1290, ,3745.16
1901210305,1,TB05,25990, ,75454.83
1901210305,1,TB02,725, ,2104.83
1901243406,1,TB10,462,0,451.95
1901243406,1,TB09,220,0,215.21
1901243406,1,TB08,9225,400,9024.45
1901243406,1,TB07,396, ,1149.67
1901243406,1,TB13,1375,0,672.55
1901243406,1,TB04,3130, ,9087.09
1901243406,1,TB03,1108, ,3216.77
1901243406,1,TB01,5000, ,14516.12
1901243406,1,TB05,7050, ,20467.74
1901367905,1,TB01,80000, ,232258.06
1901367905,1,TB04,70000, ,203225.8
1901367905,1,TB05,12000, ,34838.7
1901367905,1,TB03,3828, ,11113.54
1901367905,1,TB02,1414, ,4105.16
1901367905,1,TB10,169300,7300,165619.56
1901367905,1,TB13,6000,6000,2934.78
1901367905,1,TR01,20000, ,58064.51
1901367905,1,TB07,26400, ,76645.16
1901367905,1,TR08,10000,0,9782.6
1901376204,1,TB11,2800,0,1392.26
1901376204,1,TB03,142, ,412.25
1901376204,1,TB05,1300, ,3774.19
1901376204,1,TB06,45, ,130.64
1901376204,1,TB07,420, ,1219.35
1901376204,1,TB13,8600,0,4276.24
1901376204,1,TB10,1532,1032,1498.69
1901376204,1,TB08,4820,1600,4715.21
