folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
160232223,1,2,1,5,1,1,2, , , , , , , , ,6,2,2,0,1,1,0,1,1,0,0, , ,175000,10000,2, , , , , , , , , , , , ,2,4,249076,7300,0,62150,61924.97,1814.91,0,15451.65,48286.74,0
160232318,1,1,2,5,1,2,2, , , , , , , , ,6,1,0,1,0, , ,1,0,1,0, , ,12600,2000,2, , , , , , , , , , , , ,2,4,0,0,0,300,0,0,0,73.36,0,73.36
160232514,1,1,1,5,1,1,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,4,114975,0,800,64220,28118.88,0,195.65,15705.97,12607.82,0
160232515,1,1,1,4,1, ,2, , , , , , , , ,1,2,2,0,2,2,0,0, , ,0, , , ,36000,2, , , , , , , , , , , , ,2,4,1000,3240,0,45832,244.56,792.39,0,11208.91,0,10171.95
160232515,1,1,1,5,1,1,2, , , , , , , , ,1,1,1,0,1,1,0,0, , ,0, , , ,12000,1, , , ,1800, , , , , , , , ,2,4,24322,832,0,43330,5948.31,203.47,0,10597.01,0,4443.26
160234018,1,2,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,2800, ,2, , , , , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
160234807,1,1,1,4,1, ,2, , , , , , , , ,1,3,3,0,0, , ,3,3,0,0, , ,20000, ,2, , , , , , , , , , , , ,2,4,0,5000,0,8800,0,1229.5,0,2163.93,0,932.45
160234807,1,1,1,5,1,1,2, , , , , , , , ,1,3,3,0,0, , ,3,3,0,0, , ,2000, ,1, , , , , , , , ,1600,8, , ,2,4,22500,0,0,20000,5532.78,0,0,4918.03,613.77,0
160234809,1,1,1,4,1, ,2, , , , , , , , ,1,2,2,0,0, , ,2,2,0,0, , ,5000,5000,2, , , , , , , , , , , , ,2,4,0,0,0,6300,0,0,0,1549.18,0,1549.18
160234809,1,1,1,5,1,1,2, , , , , , , , ,1,2,2,0,0, , ,2,2,0,0, , , , ,2, , , , , , , , , , , , ,2,4,22500,0,0,24000,5532.78,0,0,5901.63,0,368.85
160239215,1,1,1,4,1, ,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , ,6000, ,2, , , , , , , , ,8000,6, , ,2,4,100000,1000,0,56800,24861.87,248.61,0,14121.54,10987.95,0
160239215,1,1,1,5,1,2,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , ,486000, ,2, , , , , , , , , , ,2500,6,2,4,140000,0,0,51000,34806.62,0,0,12679.55,22125.08,0
160239522,1,1,1,4,1, ,2, , , , , , , , ,6,3,3,0,3,3,0,0, , ,0, , ,4000,10000,2, , , , , , , , ,6500,5, , ,2,3,23000,0,0,6000,5624.99,0,0,1467.39,4155.65,0
